facility_num,hour_start,raw_sessions,raw_unique_devices,clean_sessions,clean_unique_devices,mean_signal_level,median_session_duration,zero_duration_ratio,trusted_unique_devices,local_unique_devices,trusted_share_of_clean_unique,local_share_of_clean_unique,footfall_clean_linear,footfall_clean_origin,footfall_trusted_linear,footfall_local_linear,footfall_clean_capture_median,trend_source_facility,trend_source_type,trend_anchor_manual_count,trend_anchor_clean_unique_devices,trend_source_capture_rate,trend_global_capture_rate,trend_capture_rate_shrunk,trend_capture_rate_shrink_weight,trend_source_calibration_windows,footfall_clean_capture_global,footfall_clean_capture_source,footfall_clean_capture_shrunk,footfall_clean_elasticity_005,footfall_clean_elasticity_010,footfall_clean_elasticity_025,footfall_trend_preserving,footfall_plan_c,footfall_plan_c_trend_preserving,footfall_recommended,footfall_plan_a,estimated_total_footfall,task1_recommended_model
66330,2026-04-20 00:00:00+00:00,157,156,143.0,142.0,83.2867132867133,0.0,0.8811188811188811,0.0,142.0,0.0,1.0,534.8,19.84,516.98,534.97,29.45,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,26.47,17.6,20.71,503.35,421.91,248.48,421.91,421.91,421.91,421.91,421.91,421.91,trend_clean_elasticity_beta_010
66330,2026-04-20 01:00:00+00:00,78,74,75.0,72.0,82.72,0.0,0.8,0.0,71.0,0.0,0.9861111111111112,533.71,10.06,516.98,533.87,14.93,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,13.42,8.93,10.5,486.54,394.21,209.67,394.21,394.21,394.21,394.21,394.21,394.21,trend_clean_elasticity_beta_010
66330,2026-04-20 02:00:00+00:00,118,115,111.0,111.0,78.8108108108108,0.0,0.7747747747747747,0.0,110.0,0.0,0.990990990990991,534.32,15.51,516.98,534.47,23.02,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,20.69,13.76,16.19,497.19,411.65,233.64,411.65,411.65,411.65,411.65,411.65,411.65,trend_clean_elasticity_beta_010
66330,2026-04-20 03:00:00+00:00,121,118,115.0,114.0,78.65217391304348,0.0,0.808695652173913,0.0,112.0,0.0,0.9824561403508771,534.36,15.93,516.98,534.5,23.64,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,21.25,14.13,16.62,497.85,412.75,235.2,412.75,412.75,412.75,412.75,412.75,412.75,trend_clean_elasticity_beta_010
66330,2026-04-20 04:00:00+00:00,143,137,139.0,135.0,81.0431654676259,0.0,0.8920863309352518,0.0,135.0,0.0,1.0,534.69,18.86,516.98,534.86,28.0,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,25.16,16.74,19.68,502.08,419.78,245.36,419.78,419.78,419.78,419.78,419.78,419.78,trend_clean_elasticity_beta_010
66330,2026-04-20 05:00:00+00:00,238,236,233.0,233.0,80.78969957081546,0.0,0.871244635193133,3.0,230.0,0.012875536480686695,0.9871244635193133,536.21,32.55,524.02,536.34,48.32,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,43.43,28.88,33.97,515.97,443.33,281.22,443.33,443.33,443.33,443.33,443.33,443.33,trend_clean_elasticity_beta_010
66330,2026-04-20 06:00:00+00:00,656,655,647.0,646.0,81.05718701700154,0.0,0.8979907264296755,11.0,638.0,0.017027863777089782,0.9876160990712074,542.63,90.25,542.82,542.68,133.98,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,120.4,80.08,94.2,542.96,490.93,362.89,490.93,490.93,490.93,490.93,490.93,490.93,trend_clean_elasticity_beta_010
66330,2026-04-20 07:00:00+00:00,860,851,847.0,842.0,81.60448642266824,0.0,0.8866587957497049,8.0,837.0,0.009501187648456057,0.994061757719715,545.67,117.63,535.77,545.78,174.63,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,156.93,104.38,122.77,550.2,504.11,387.74,504.11,504.11,504.11,504.11,504.11,504.11,trend_clean_elasticity_beta_010
66330,2026-04-20 08:00:00+00:00,1288,1282,1283.0,1277.0,81.22992985190959,0.0,0.9290724863600935,6.0,1260.0,0.004698512137823023,0.9866875489428347,552.42,178.4,531.07,552.36,264.85,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,238.01,158.31,186.2,561.77,525.55,430.29,525.55,525.55,525.55,525.55,525.55,525.55,trend_clean_elasticity_beta_010
66330,2026-04-20 09:00:00+00:00,2184,2173,2173.0,2164.0,81.2586286240221,0.0,0.93235158766682,15.0,2147.0,0.006931608133086876,0.9921441774491682,566.2,302.32,552.22,566.15,448.81,66330,manual_calibrated,600.5,4844.0,0.12396779521056978,0.18638222792525463,0.14581284666070948,0.65,2,403.33,268.27,315.54,576.79,554.01,490.94,554.01,554.01,554.01,554.01,554.01,554.01,trend_clean_elasticity_beta_010
