model_name,facility_num,started,manual_total_count,predicted,abs_error,ape
linear_trusted_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,546.8173515981736,104.18264840182644,0.1600347901717764
linear_trusted_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,518.3766375545852,46.62336244541484,0.08251922556710592
linear_trusted_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,564.0168892380204,14.01688923802044,0.025485253160037163
linear_trusted_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,591.0419265419265,33.0419265419265,0.05921492211814785
linear_local_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,540.7019140312681,110.29808596873193,0.16942870348499528
linear_local_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,507.7151962370601,57.28480376293987,0.10138903320874314
linear_local_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,610.5843706849889,60.584370684988926,0.1101534012454344
linear_local_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,567.2408466603306,9.24084666033059,0.01656065709736665
linear_raw_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,540.7299041311434,110.27009586885663,0.16938570793987193
linear_raw_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,507.36699939246796,57.63300060753204,0.10200531080979122
linear_raw_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,610.5770172189941,60.577017218994115,0.11014003130726202
linear_raw_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,567.3905756252809,9.390575625280917,0.016828988575772252
linear_clean_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,540.7062800789827,110.29371992101733,0.16942199680647824
linear_clean_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,507.32458440269113,57.67541559730887,0.1020803815881573
linear_clean_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,610.5131827393216,60.513182739321564,0.1100239686169483
linear_clean_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,567.3957017987416,9.395701798741584,0.016838175266561978
linear_clean_sessions,66330,2026-04-23 13:00:00+00:00,651.0,540.776753279655,110.22324672034495,0.16931374304200453
linear_clean_sessions,66333,2026-04-23 15:00:00+00:00,565.0,507.4294029497181,57.57059705028189,0.10189486203589715
linear_clean_sessions,66330,2026-04-24 13:00:00+00:00,550.0,610.699236696406,60.69923669640605,0.11036224853892009
linear_clean_sessions,66333,2026-04-24 15:00:00+00:00,558.0,567.3892895100171,9.389289510017079,0.016826683709708027
linear_raw_sessions,66330,2026-04-23 13:00:00+00:00,651.0,540.7976154934112,110.20238450658883,0.1692816966307048
linear_raw_sessions,66333,2026-04-23 15:00:00+00:00,565.0,507.45984532753783,57.540154672462165,0.10184098172117198
linear_raw_sessions,66330,2026-04-24 13:00:00+00:00,550.0,610.7542885973764,60.754288597376444,0.1104623429043208
linear_raw_sessions,66333,2026-04-24 15:00:00+00:00,558.0,567.3878664214747,9.387866421474655,0.01682413337181838
trend_clean_elasticity_beta_005,66330,2026-04-23 13:00:00+00:00,651.0,561.13,89.87,0.13804915514592936
trend_clean_elasticity_beta_005,66333,2026-04-23 15:00:00+00:00,565.0,530.35,34.64999999999998,0.061327433628318544
trend_clean_elasticity_beta_005,66330,2026-04-24 13:00:00+00:00,550.0,638.08,88.08000000000004,0.16014545454545462
trend_clean_elasticity_beta_005,66333,2026-04-24 15:00:00+00:00,558.0,594.46,36.460000000000036,0.06534050179211476
trend_clean_elasticity_beta_010,66330,2026-04-23 13:00:00+00:00,651.0,572.49,78.50999999999999,0.12059907834101381
trend_clean_elasticity_beta_010,66333,2026-04-23 15:00:00+00:00,565.0,504.07,60.93000000000001,0.10784070796460178
trend_clean_elasticity_beta_010,66330,2026-04-24 13:00:00+00:00,550.0,625.42,75.41999999999996,0.13712727272727265
trend_clean_elasticity_beta_010,66333,2026-04-24 15:00:00+00:00,558.0,625.45,67.45000000000005,0.12087813620071693
trend_clean_elasticity_beta_025,66330,2026-04-23 13:00:00+00:00,651.0,607.97,43.02999999999997,0.06609831029185864
trend_clean_elasticity_beta_025,66333,2026-04-23 15:00:00+00:00,565.0,432.79,132.20999999999998,0.23399999999999996
trend_clean_elasticity_beta_025,66330,2026-04-24 13:00:00+00:00,550.0,588.93,38.92999999999995,0.07078181818181808
trend_clean_elasticity_beta_025,66333,2026-04-24 15:00:00+00:00,558.0,728.45,170.45000000000005,0.3054659498207886
origin_local_share_of_clean_unique,66330,2026-04-23 13:00:00+00:00,651.0,560.5292772493968,90.47072275060316,0.13897192434808472
origin_local_share_of_clean_unique,66333,2026-04-23 15:00:00+00:00,565.0,583.3567981555665,18.35679815556648,0.03248990823994067
origin_local_share_of_clean_unique,66330,2026-04-24 13:00:00+00:00,550.0,594.1388490335013,44.13884903350129,0.08025245278818416
origin_local_share_of_clean_unique,66333,2026-04-24 15:00:00+00:00,558.0,586.0973899216493,28.097389921649324,0.05035374537929986
origin_mean_signal_level,66330,2026-04-23 13:00:00+00:00,651.0,551.2770637889713,99.7229362110287,0.153184233811104
origin_mean_signal_level,66333,2026-04-23 15:00:00+00:00,565.0,605.7657837835695,40.76578378356953,0.0721518297054328
origin_mean_signal_level,66330,2026-04-24 13:00:00+00:00,550.0,578.3040678892356,28.304067889235625,0.051461941616792045
origin_mean_signal_level,66333,2026-04-24 15:00:00+00:00,558.0,588.210669178673,30.210669178673015,0.05414098419117028
origin_zero_duration_ratio,66330,2026-04-23 13:00:00+00:00,651.0,551.0006836489924,99.99931635100756,0.15360878087712376
origin_zero_duration_ratio,66333,2026-04-23 15:00:00+00:00,565.0,601.266289038088,36.26628903808796,0.06418812219130612
origin_zero_duration_ratio,66330,2026-04-24 13:00:00+00:00,550.0,578.3918653725326,28.391865372532607,0.05162157340460474
origin_zero_duration_ratio,66333,2026-04-24 15:00:00+00:00,558.0,592.9086886735889,34.90868867358893,0.06256037396700524
linear_local_share_of_clean_unique,66330,2026-04-23 13:00:00+00:00,651.0,548.9102523920619,102.08974760793808,0.156819888798676
linear_local_share_of_clean_unique,66333,2026-04-23 15:00:00+00:00,565.0,550.7474561784211,14.25254382157891,0.025225741277130814
linear_local_share_of_clean_unique,66330,2026-04-24 13:00:00+00:00,550.0,644.5522871385983,94.55228713859833,0.17191324934290605
linear_local_share_of_clean_unique,66333,2026-04-24 15:00:00+00:00,558.0,564.639235901599,6.639235901599022,0.011898272225087854
linear_zero_duration_ratio,66330,2026-04-23 13:00:00+00:00,651.0,552.6178954189552,98.38210458104481,0.15112458460989986
linear_zero_duration_ratio,66333,2026-04-23 15:00:00+00:00,565.0,569.1975986551354,4.19759865513538,0.007429378150682089
linear_zero_duration_ratio,66330,2026-04-24 13:00:00+00:00,550.0,657.4030837712999,107.40308377129986,0.1952783341296361
linear_zero_duration_ratio,66333,2026-04-24 15:00:00+00:00,558.0,584.2602060545956,26.260206054595642,0.04706130117311047
linear_mean_signal_level,66330,2026-04-23 13:00:00+00:00,651.0,553.5505659151495,97.44943408485051,0.14969191103663673
linear_mean_signal_level,66333,2026-04-23 15:00:00+00:00,565.0,594.7555550925538,29.755555092553777,0.052664699278856246
linear_mean_signal_level,66330,2026-04-24 13:00:00+00:00,550.0,632.6194845952241,82.6194845952241,0.15021724471858927
linear_mean_signal_level,66333,2026-04-24 15:00:00+00:00,558.0,588.7625486103452,30.76254861034522,0.0551300154307262
linear_trusted_share_of_clean_unique,66330,2026-04-23 13:00:00+00:00,651.0,555.0414670476592,95.95853295234076,0.14740174032617628
linear_trusted_share_of_clean_unique,66333,2026-04-23 15:00:00+00:00,565.0,589.5246451765462,24.524645176546187,0.04340645163990475
linear_trusted_share_of_clean_unique,66330,2026-04-24 13:00:00+00:00,550.0,717.3595032339547,167.35950323395468,0.3042900058799176
linear_trusted_share_of_clean_unique,66333,2026-04-24 15:00:00+00:00,558.0,590.8385093236856,32.83850932368557,0.058850375132053
blend_trusted_clean,66330,2026-04-23 13:00:00+00:00,651.0,539.2029383928973,111.7970616071027,0.17173127743026528
blend_trusted_clean,66333,2026-04-23 15:00:00+00:00,565.0,504.38953772478504,60.61046227521496,0.107275154469407
blend_trusted_clean,66330,2026-04-24 13:00:00+00:00,550.0,701.9642857142857,151.96428571428567,0.2762987012987012
blend_trusted_clean,66333,2026-04-24 15:00:00+00:00,558.0,611.0135917765477,53.01359177654774,0.09500643687553359
origin_trusted_share_of_clean_unique,66330,2026-04-23 13:00:00+00:00,651.0,386.9290705586646,264.0709294413354,0.40563890851203593
origin_trusted_share_of_clean_unique,66333,2026-04-23 15:00:00+00:00,565.0,823.5236229991418,258.5236229991418,0.4575639345117554
