model_name,model_type,features,fit_intercept,eligible_for_recommendation,intercept,slope,mae,mape,r2,loo_mae,loo_mape,loo_max_ape,coef_raw_unique_devices,coef_clean_unique_devices,coef_raw_sessions,coef_clean_sessions,coef_trusted_unique_devices,coef_local_unique_devices,coef_mean_signal_level,coef_zero_duration_ratio,coef_trusted_share_of_clean_unique,coef_local_share_of_clean_unique,selected_for_delivery,selection_note
linear_trusted_unique_devices,linear,trusted_unique_devices,True,True,516.9755907556479,2.3495196052973246,17.014541677486335,0.029670876338133256,0.7996709821219614,49.466206656797056,0.08181354775426683,0.1600347901717764,,,,,2.3495196052973246,,,,,,False,Diagnostic comparison model
linear_local_unique_devices,linear,local_unique_devices,True,True,532.7620515763134,0.01555059588126584,24.581882340463153,0.04240686951475811,0.5303698492041302,59.35202676924783,0.09938294875913486,0.16942870348499528,,,,,,0.01555059588126584,,,,,False,Diagnostic comparison model
linear_raw_unique_devices,linear,raw_unique_devices,True,True,532.5409504169294,0.015521796791502432,24.63292598929587,0.04249412797919639,0.529471703523557,59.467672330165925,0.09959000965817437,0.16938570793987193,0.015521796791502432,,,,,,,,,,False,Diagnostic comparison model
linear_clean_unique_devices,linear,clean_unique_devices,True,True,532.5947188693715,0.01552819989754704,24.62030336570092,0.042474044037796144,0.530108351723602,59.46950501409734,0.09959113056953645,0.16942199680647824,,0.01552819989754704,,,,,,,,,False,Diagnostic comparison model
linear_clean_sessions,linear,clean_sessions,True,True,532.7094619505417,0.015445558307838905,24.659997916362386,0.04253753012737827,0.5281981206699364,59.47059249426249,0.09959938433163244,0.16931374304200453,,,,0.015445558307838905,,,,,,,False,Diagnostic comparison model
linear_raw_sessions,linear,raw_sessions,True,True,532.6339653896541,0.015443772526653122,24.671851291607027,0.042556496199516645,0.5276304698099317,59.47117354947552,0.09960228865700398,0.1692816966307048,,,0.015443772526653122,,,,,,,,False,Diagnostic comparison model
trend_clean_elasticity_beta_005,trend_elasticity,clean_unique_devices,False,True,0.0,0.05,31.08499999999998,0.05299367750750848,0.30692401444478,62.265000000000015,0.10621563627795433,0.16014545454545462,,0.05,,,,,,,,,False,Diagnostic comparison model
trend_clean_elasticity_beta_010,trend_elasticity,clean_unique_devices,False,True,0.0,0.1,35.09249999999997,0.060391200430552364,0.2399696509178466,70.5775,0.12161129880840128,0.13712727272727265,,0.1,,,,,,,,,True,Plan C delivered estimate: preserves clean-device hourly/daily trend while anchored to manual counts
trend_clean_elasticity_beta_025,trend_elasticity,clean_unique_devices,False,True,0.0,0.25,46.699999999999974,0.08187738790375099,-0.7744494432741491,96.15499999999999,0.1690865195736163,0.3054659498207886,,0.25,,,,,,,,,False,Diagnostic comparison model
origin_local_share_of_clean_unique,linear,local_share_of_clean_unique,False,False,0.0,585.1377483398213,33.90770071642771,0.056573474488518995,0.0508864713286572,45.26593996533006,0.07551700768887736,0.13897192434808472,,,,,,,,,,585.1377483398213,False,Diagnostic comparison model
