path,device_count,path_length
66330 -> 66331,42826,2
66333 -> 66342,30510,2
66331 -> 66330,7212,2
66342 -> 66333,6898,2
66335 -> 66336,2964,2
66332 -> 66342,2778,2
66342 -> 66340,2534,2
66336 -> 66335,1730,2
66340 -> 66342,1626,2
66336 -> 66340,1529,2
66342 -> 66332,1311,2
66330 -> 66332,765,2
66340 -> 66336,749,2
66330 -> 66331 -> 66332,743,3
66333 -> 66340,679,2
66331 -> 66332,679,2
66332 -> 66330,650,2
66330 -> 66331 -> 66330,603,3
66333 -> 66342 -> 66340,500,3
66332 -> 66331,492,2
66332 -> 66330 -> 66331,456,3
66340 -> 66335,405,2
66335 -> 66340,400,2
66336 -> 66342,394,2
66340 -> 66330,338,2
66330 -> 66335,322,2
66330 -> 66342,320,2
66342 -> 66330,306,2
66330 -> 66331 -> 66330 -> 66331,298,4
66332 -> 66340,291,2
66330 -> 66340,286,2
66335 -> 66342,282,2
66342 -> 66335,280,2
66342 -> 66336,270,2
66335 -> 66330,263,2
66340 -> 66333,251,2
66336 -> 66330,244,2
66340 -> 66332,238,2
66332 -> 66333 -> 66342,214,3
66342 -> 66333 -> 66342,206,3
66342 -> 66333 -> 66340,205,3
66332 -> 66342 -> 66333,199,3
66340 -> 66330 -> 66331,197,3
66330 -> 66331 -> 66340,190,3
66331 -> 66330 -> 66331,186,3
66330 -> 66336,185,2
66332 -> 66333,185,2
66330 -> 66331 -> 66342,178,3
66340 -> 66333 -> 66342,175,3
66333 -> 66340 -> 66342,175,3
66332 -> 66331 -> 66330,156,3
66330 -> 66331 -> 66335,151,3
66336 -> 66330 -> 66331,135,3
66331 -> 66342,128,2
66330 -> 66331 -> 66336,124,3
66342 -> 66330 -> 66331,124,3
66332 -> 66336,123,2
66336 -> 66335 -> 66336,121,3
66342 -> 66331,120,2
66340 -> 66342 -> 66333,118,3
66340 -> 66331,116,2
66340 -> 66342 -> 66340,113,3
66333 -> 66342 -> 66332,106,3
66332 -> 66335,104,2
66335 -> 66330 -> 66331,104,3
66336 -> 66332,100,2
66331 -> 66340,100,2
66330 -> 66332 -> 66331,99,3
66333 -> 66335,96,2
66331 -> 66330 -> 66332,91,3
66335 -> 66336 -> 66335,90,3
66331 -> 66332 -> 66330,89,3
66336 -> 66340 -> 66336,83,3
66330 -> 66333 -> 66342,82,3
66340 -> 66336 -> 66340,82,3
66335 -> 66333 -> 66342,76,3
66342 -> 66340 -> 66333,75,3
66336 -> 66340 -> 66342,75,3
66333 -> 66342 -> 66335,75,3
66335 -> 66336 -> 66340,74,3
66333 -> 66332,73,2
66330 -> 66333,71,2
66335 -> 66333,70,2
66335 -> 66336 -> 66342,69,3
66333 -> 66330,66,2
66342 -> 66331 -> 66330,65,3
66331 -> 66335,65,2
66336 -> 66331,64,2
66335 -> 66332,63,2
66331 -> 66336,63,2
66331 -> 66330 -> 66335,61,3
66342 -> 66340 -> 66336,60,3
66342 -> 66333 -> 66332,60,3
66330 -> 66331 -> 66330 -> 66331 -> 66330,60,5
66342 -> 66332 -> 66342,60,3
66340 -> 66335 -> 66336,57,3
66335 -> 66331,56,2
66336 -> 66333,55,2
66342 -> 66332 -> 66333,54,3
66333 -> 66342 -> 66330,54,3
