facility_num,next_facility,transition_count,facility_name_from,facility_name_to
66330,66331,51395,GB-LVO-DD-08003,GB-LVO-DD-08005
66333,66342,34547,GB-LVO-DD-08009,GB-LVO-DD-08023
66331,66330,11532,GB-LVO-DD-08005,GB-LVO-DD-08003
66342,66333,10090,GB-LVO-DD-08023,GB-LVO-DD-08009
66342,66340,4954,GB-LVO-DD-08023,GB-LVO-DD-08021
66335,66336,4775,GB-LVO-DD-08013,GB-LVO-DD-08015
66332,66342,4340,GB-LVO-DD-08007,GB-LVO-DD-08023
66340,66342,3674,GB-LVO-DD-08021,GB-LVO-DD-08023
66336,66335,3299,GB-LVO-DD-08015,GB-LVO-DD-08013
66336,66340,2990,GB-LVO-DD-08015,GB-LVO-DD-08021
66342,66332,2624,GB-LVO-DD-08023,GB-LVO-DD-08007
66331,66332,2598,GB-LVO-DD-08005,GB-LVO-DD-08007
66332,66330,2267,GB-LVO-DD-08007,GB-LVO-DD-08003
66340,66336,2072,GB-LVO-DD-08021,GB-LVO-DD-08015
66333,66340,1826,GB-LVO-DD-08009,GB-LVO-DD-08021
66330,66332,1617,GB-LVO-DD-08003,GB-LVO-DD-08007
66332,66331,1392,GB-LVO-DD-08007,GB-LVO-DD-08005
66340,66335,1293,GB-LVO-DD-08021,GB-LVO-DD-08013
66340,66330,1270,GB-LVO-DD-08021,GB-LVO-DD-08003
66340,66333,1258,GB-LVO-DD-08021,GB-LVO-DD-08009
66342,66330,1187,GB-LVO-DD-08023,GB-LVO-DD-08003
66335,66330,1185,GB-LVO-DD-08013,GB-LVO-DD-08003
66336,66342,1104,GB-LVO-DD-08015,GB-LVO-DD-08023
66330,66335,1081,GB-LVO-DD-08003,GB-LVO-DD-08013
66335,66340,1066,GB-LVO-DD-08013,GB-LVO-DD-08021
66342,66335,1023,GB-LVO-DD-08023,GB-LVO-DD-08013
66336,66330,1004,GB-LVO-DD-08015,GB-LVO-DD-08003
66330,66342,925,GB-LVO-DD-08003,GB-LVO-DD-08023
66335,66342,896,GB-LVO-DD-08013,GB-LVO-DD-08023
66332,66333,874,GB-LVO-DD-08007,GB-LVO-DD-08009
66331,66342,864,GB-LVO-DD-08005,GB-LVO-DD-08023
66332,66340,861,GB-LVO-DD-08007,GB-LVO-DD-08021
66342,66336,837,GB-LVO-DD-08023,GB-LVO-DD-08015
66340,66332,831,GB-LVO-DD-08021,GB-LVO-DD-08007
66330,66340,774,GB-LVO-DD-08003,GB-LVO-DD-08021
66331,66340,744,GB-LVO-DD-08005,GB-LVO-DD-08021
66330,66336,598,GB-LVO-DD-08003,GB-LVO-DD-08015
66331,66335,587,GB-LVO-DD-08005,GB-LVO-DD-08013
66342,66331,564,GB-LVO-DD-08023,GB-LVO-DD-08005
66331,66336,493,GB-LVO-DD-08005,GB-LVO-DD-08015
66333,66332,476,GB-LVO-DD-08009,GB-LVO-DD-08007
66335,66333,421,GB-LVO-DD-08013,GB-LVO-DD-08009
66333,66330,403,GB-LVO-DD-08009,GB-LVO-DD-08003
66333,66335,394,GB-LVO-DD-08009,GB-LVO-DD-08013
66340,66331,367,GB-LVO-DD-08021,GB-LVO-DD-08005
66331,66333,351,GB-LVO-DD-08005,GB-LVO-DD-08009
66330,66333,346,GB-LVO-DD-08003,GB-LVO-DD-08009
66332,66336,307,GB-LVO-DD-08007,GB-LVO-DD-08015
66336,66333,257,GB-LVO-DD-08015,GB-LVO-DD-08009
66336,66332,253,GB-LVO-DD-08015,GB-LVO-DD-08007
66335,66331,252,GB-LVO-DD-08013,GB-LVO-DD-08005
66332,66335,245,GB-LVO-DD-08007,GB-LVO-DD-08013
66336,66331,242,GB-LVO-DD-08015,GB-LVO-DD-08005
66335,66332,178,GB-LVO-DD-08013,GB-LVO-DD-08007
66333,66331,168,GB-LVO-DD-08009,GB-LVO-DD-08005
66333,66336,162,GB-LVO-DD-08009,GB-LVO-DD-08015
66338,66330,57,GB-LVO-DD-08019,GB-LVO-DD-08003
66331,66338,38,GB-LVO-DD-08005,GB-LVO-DD-08019
66336,66338,29,GB-LVO-DD-08015,GB-LVO-DD-08019
66338,66336,26,GB-LVO-DD-08019,GB-LVO-DD-08015
66330,66338,25,GB-LVO-DD-08003,GB-LVO-DD-08019
66338,66332,15,GB-LVO-DD-08019,GB-LVO-DD-08007
66340,66338,10,GB-LVO-DD-08021,GB-LVO-DD-08019
66338,66331,10,GB-LVO-DD-08019,GB-LVO-DD-08005
66332,66338,10,GB-LVO-DD-08007,GB-LVO-DD-08019
66338,66342,8,GB-LVO-DD-08019,GB-LVO-DD-08023
66335,66338,8,GB-LVO-DD-08013,GB-LVO-DD-08019
66338,66335,7,GB-LVO-DD-08019,GB-LVO-DD-08013
66338,66333,6,GB-LVO-DD-08019,GB-LVO-DD-08009
66342,66338,6,GB-LVO-DD-08023,GB-LVO-DD-08019
66333,66338,5,GB-LVO-DD-08009,GB-LVO-DD-08019
66338,66340,4,GB-LVO-DD-08019,GB-LVO-DD-08021
