facility_num,hour_start,raw_sessions,clean_sessions,clean_unique_devices,trusted_unique_devices,local_unique_devices,hour_of_day,date,clean_unique_devices_dedup,trusted_unique_devices_dedup,footfall_plan_a,capture_rate_facility,hod_factor,hod_factor_profile,density_factor,footfall_plan_b_per_sensor,footfall_plan_b,footfall_plan_b_profile_hod
66330,2026-04-20 00:00:00+00:00,157,143.0,142.0,0.0,142.0,0,2026-04-20,130.0,0.0,516.98,0.1268681997422934,1.0000000312061639,2.0,0.85,15.31,14.02,32.99
66330,2026-04-20 01:00:00+00:00,78,75.0,72.0,0.0,71.0,1,2026-04-20,60.0,0.0,516.98,0.1268681997422934,1.0000000017605313,2.0,0.85,7.76,6.47,15.22
66330,2026-04-20 02:00:00+00:00,118,111.0,111.0,0.0,110.0,2,2026-04-20,63.0,0.0,516.98,0.1268681997422934,1.0000000312061639,2.0,0.85,11.97,6.79,15.99
66330,2026-04-20 03:00:00+00:00,121,115.0,114.0,0.0,112.0,3,2026-04-20,83.0,0.0,516.98,0.1268681997422934,1.0000004307878039,2.0,0.85,12.29,8.95,21.06
66330,2026-04-20 04:00:00+00:00,143,139.0,135.0,0.0,135.0,4,2026-04-20,105.0,0.0,516.98,0.1268681997422934,1.0000046314053592,2.0,0.85,14.56,11.32,26.64
66330,2026-04-20 05:00:00+00:00,238,233.0,233.0,3.0,230.0,5,2026-04-20,186.0,3.0,524.02,0.1268681997422934,1.000038778282299,2.0,0.85,25.13,20.06,47.19
66330,2026-04-20 06:00:00+00:00,656,647.0,646.0,11.0,638.0,6,2026-04-20,512.0,4.0,542.82,0.1268681997422934,1.0002528661646692,2.0,0.85,69.68,55.23,129.91
66330,2026-04-20 07:00:00+00:00,860,847.0,842.0,8.0,837.0,7,2026-04-20,699.0,5.0,535.77,0.1268681997422934,1.001284160344515,2.0,0.85,90.92,75.48,177.36
66330,2026-04-20 08:00:00+00:00,1288,1283.0,1277.0,6.0,1260.0,8,2026-04-20,1067.0,4.0,531.07,0.1268681997422934,1.0050789526870891,2.0,0.85,138.41,115.65,270.74
66330,2026-04-20 09:00:00+00:00,2184,2173.0,2164.0,15.0,2147.0,9,2026-04-20,1824.0,9.0,552.22,0.1268681997422934,1.015644275641629,1.7256194251734391,0.85,237.01,199.77,399.32
