hour_start,unique_devices_mall,estimated_mall_visitors,date
2026-04-20 00:00:00+00:00,2043,380.78,2026-04-20
2026-04-20 01:00:00+00:00,1762,328.41,2026-04-20
2026-04-20 02:00:00+00:00,1658,309.02,2026-04-20
2026-04-20 03:00:00+00:00,1643,306.23,2026-04-20
2026-04-20 04:00:00+00:00,1780,331.76,2026-04-20
2026-04-20 05:00:00+00:00,2186,407.43,2026-04-20
2026-04-20 06:00:00+00:00,3170,590.83,2026-04-20
2026-04-20 07:00:00+00:00,4860,905.82,2026-04-20
2026-04-20 08:00:00+00:00,8173,1523.3,2026-04-20
2026-04-20 09:00:00+00:00,13766,2565.74,2026-04-20
2026-04-20 10:00:00+00:00,19757,3682.35,2026-04-20
2026-04-20 11:00:00+00:00,25893,4826.0,2026-04-20
2026-04-20 12:00:00+00:00,25945,4835.69,2026-04-20
2026-04-20 13:00:00+00:00,23722,4421.36,2026-04-20
2026-04-20 14:00:00+00:00,23435,4367.87,2026-04-20
2026-04-20 15:00:00+00:00,23545,4388.37,2026-04-20
2026-04-20 16:00:00+00:00,21666,4038.16,2026-04-20
2026-04-20 17:00:00+00:00,17125,3191.8,2026-04-20
2026-04-20 18:00:00+00:00,11568,2156.07,2026-04-20
2026-04-20 19:00:00+00:00,6630,1235.71,2026-04-20
2026-04-20 20:00:00+00:00,6919,1289.58,2026-04-20
2026-04-20 21:00:00+00:00,4145,772.55,2026-04-20
2026-04-20 22:00:00+00:00,2556,476.39,2026-04-20
2026-04-20 23:00:00+00:00,2061,384.13,2026-04-20
2026-04-21 00:00:00+00:00,547,101.95,2026-04-21
2026-04-21 01:00:00+00:00,728,135.69,2026-04-21
2026-04-21 02:00:00+00:00,574,106.98,2026-04-21
2026-04-21 03:00:00+00:00,548,102.14,2026-04-21
2026-04-21 04:00:00+00:00,659,122.83,2026-04-21
2026-04-21 05:00:00+00:00,1463,272.68,2026-04-21
2026-04-21 06:00:00+00:00,2498,465.58,2026-04-21
2026-04-21 07:00:00+00:00,3086,575.18,2026-04-21
2026-04-21 08:00:00+00:00,5075,945.89,2026-04-21
2026-04-21 09:00:00+00:00,7078,1319.21,2026-04-21
2026-04-21 10:00:00+00:00,10248,1910.05,2026-04-21
2026-04-21 11:00:00+00:00,14778,2754.36,2026-04-21
2026-04-21 12:00:00+00:00,17055,3178.75,2026-04-21
2026-04-21 13:00:00+00:00,14792,2756.97,2026-04-21
2026-04-21 14:00:00+00:00,14320,2668.99,2026-04-21
2026-04-21 15:00:00+00:00,13224,2464.72,2026-04-21
2026-04-21 16:00:00+00:00,14130,2633.58,2026-04-21
2026-04-21 17:00:00+00:00,11974,2231.74,2026-04-21
2026-04-21 18:00:00+00:00,9233,1720.87,2026-04-21
2026-04-21 19:00:00+00:00,5346,996.4,2026-04-21
2026-04-21 20:00:00+00:00,4136,770.88,2026-04-21
2026-04-21 21:00:00+00:00,3456,644.14,2026-04-21
2026-04-21 22:00:00+00:00,2027,377.8,2026-04-21
2026-04-21 23:00:00+00:00,1320,246.02,2026-04-21
2026-04-22 00:00:00+00:00,1215,226.45,2026-04-22
2026-04-22 01:00:00+00:00,1153,214.9,2026-04-22
2026-04-22 02:00:00+00:00,1212,225.9,2026-04-22
2026-04-22 03:00:00+00:00,1323,246.58,2026-04-22
2026-04-22 04:00:00+00:00,1291,240.62,2026-04-22
2026-04-22 05:00:00+00:00,1970,367.17,2026-04-22
2026-04-22 06:00:00+00:00,3392,632.21,2026-04-22
2026-04-22 07:00:00+00:00,4505,839.65,2026-04-22
2026-04-22 08:00:00+00:00,6988,1302.44,2026-04-22
2026-04-22 09:00:00+00:00,11693,2179.37,2026-04-22
2026-04-22 10:00:00+00:00,16086,2998.14,2026-04-22
2026-04-22 11:00:00+00:00,23070,4299.84,2026-04-22
2026-04-22 12:00:00+00:00,25326,4720.32,2026-04-22
2026-04-22 13:00:00+00:00,22583,4209.07,2026-04-22
2026-04-22 14:00:00+00:00,23833,4442.05,2026-04-22
2026-04-22 15:00:00+00:00,24959,4651.91,2026-04-22
2026-04-22 16:00:00+00:00,24729,4609.05,2026-04-22
2026-04-22 17:00:00+00:00,21617,4029.02,2026-04-22
2026-04-22 18:00:00+00:00,15641,2915.2,2026-04-22
2026-04-22 19:00:00+00:00,8697,1620.97,2026-04-22
2026-04-22 20:00:00+00:00,7575,1411.85,2026-04-22
2026-04-22 21:00:00+00:00,4542,846.55,2026-04-22
2026-04-22 22:00:00+00:00,3041,566.79,2026-04-22
2026-04-22 23:00:00+00:00,1984,369.78,2026-04-22
2026-04-23 00:00:00+00:00,2189,407.99,2026-04-23
2026-04-23 01:00:00+00:00,1995,371.83,2026-04-23
2026-04-23 02:00:00+00:00,2097,390.84,2026-04-23
2026-04-23 03:00:00+00:00,1962,365.68,2026-04-23
2026-04-23 04:00:00+00:00,2164,403.33,2026-04-23
2026-04-23 05:00:00+00:00,3111,579.84,2026-04-23
2026-04-23 06:00:00+00:00,3584,667.99,2026-04-23
2026-04-23 07:00:00+00:00,3894,725.77,2026-04-23
2026-04-23 08:00:00+00:00,5968,1112.33,2026-04-23
2026-04-23 09:00:00+00:00,8851,1649.67,2026-04-23
2026-04-23 10:00:00+00:00,15126,2819.22,2026-04-23
2026-04-23 11:00:00+00:00,18283,3407.63,2026-04-23
2026-04-23 12:00:00+00:00,18523,3452.36,2026-04-23
2026-04-23 13:00:00+00:00,19515,3637.25,2026-04-23
2026-04-23 14:00:00+00:00,20653,3849.35,2026-04-23
2026-04-23 15:00:00+00:00,19676,3667.26,2026-04-23
2026-04-23 16:00:00+00:00,22010,4102.27,2026-04-23
2026-04-23 17:00:00+00:00,20278,3779.46,2026-04-23
2026-04-23 18:00:00+00:00,15177,2828.72,2026-04-23
2026-04-23 19:00:00+00:00,9276,1728.88,2026-04-23
2026-04-23 20:00:00+00:00,7406,1380.35,2026-04-23
2026-04-23 21:00:00+00:00,6478,1207.38,2026-04-23
2026-04-23 22:00:00+00:00,6496,1210.74,2026-04-23
2026-04-23 23:00:00+00:00,3325,619.72,2026-04-23
2026-04-24 00:00:00+00:00,2594,483.48,2026-04-24
