facility_num_x,facility_num_y,shared_devices,devices_facility_x,devices_facility_y,union_devices,jaccard_overlap,overlap_pct_smaller_side,facility_name_x,facility_name_y
66330,66331,58355,414628,212352,568625,0.102625,0.274803,GB-LVO-DD-08003,GB-LVO-DD-08005
66333,66342,43278,121450,332881,411053,0.105286,0.356344,GB-LVO-DD-08009,GB-LVO-DD-08023
66340,66342,8926,389401,332881,713356,0.012513,0.026814,GB-LVO-DD-08021,GB-LVO-DD-08023
66332,66342,7334,211156,332881,536703,0.013665,0.034733,GB-LVO-DD-08007,GB-LVO-DD-08023
66335,66336,7318,258815,253537,505034,0.01449,0.028864,GB-LVO-DD-08013,GB-LVO-DD-08015
66330,66332,5468,414628,211156,620316,0.008815,0.025896,GB-LVO-DD-08003,GB-LVO-DD-08007
66336,66340,5156,253537,389401,637782,0.008084,0.020336,GB-LVO-DD-08015,GB-LVO-DD-08021
66331,66332,4925,212352,211156,418583,0.011766,0.023324,GB-LVO-DD-08005,GB-LVO-DD-08007
66330,66342,4290,414628,332881,743219,0.005772,0.012887,GB-LVO-DD-08003,GB-LVO-DD-08023
66333,66340,4120,121450,389401,506731,0.008131,0.033923,GB-LVO-DD-08009,GB-LVO-DD-08021
66330,66340,3658,414628,389401,800371,0.00457,0.009394,GB-LVO-DD-08003,GB-LVO-DD-08021
66331,66342,3118,212352,332881,542115,0.005752,0.014683,GB-LVO-DD-08005,GB-LVO-DD-08023
66335,66342,3115,258815,332881,588581,0.005292,0.012036,GB-LVO-DD-08013,GB-LVO-DD-08023
66336,66342,3030,253537,332881,583388,0.005194,0.011951,GB-LVO-DD-08015,GB-LVO-DD-08023
66330,66335,2987,414628,258815,670456,0.004455,0.011541,GB-LVO-DD-08003,GB-LVO-DD-08013
66335,66340,2965,258815,389401,645251,0.004595,0.011456,GB-LVO-DD-08013,GB-LVO-DD-08021
66330,66336,2843,414628,253537,665322,0.004273,0.011213,GB-LVO-DD-08003,GB-LVO-DD-08015
66331,66340,2574,212352,389401,599179,0.004296,0.012121,GB-LVO-DD-08005,GB-LVO-DD-08021
66332,66340,2462,211156,389401,598095,0.004116,0.01166,GB-LVO-DD-08007,GB-LVO-DD-08021
66332,66333,2269,211156,121450,330337,0.006869,0.018683,GB-LVO-DD-08007,GB-LVO-DD-08009
66330,66333,2144,414628,121450,533934,0.004015,0.017653,GB-LVO-DD-08003,GB-LVO-DD-08009
66331,66336,1924,212352,253537,463965,0.004147,0.00906,GB-LVO-DD-08005,GB-LVO-DD-08015
66331,66335,1816,212352,258815,469351,0.003869,0.008552,GB-LVO-DD-08005,GB-LVO-DD-08013
66333,66335,1678,121450,258815,378587,0.004432,0.013816,GB-LVO-DD-08009,GB-LVO-DD-08013
66331,66333,1628,212352,121450,332174,0.004901,0.013405,GB-LVO-DD-08005,GB-LVO-DD-08009
66332,66336,1361,211156,253537,463332,0.002937,0.006445,GB-LVO-DD-08007,GB-LVO-DD-08015
66333,66336,1176,121450,253537,373811,0.003146,0.009683,GB-LVO-DD-08009,GB-LVO-DD-08015
66332,66335,1003,211156,258815,468968,0.002139,0.00475,GB-LVO-DD-08007,GB-LVO-DD-08013
66330,66338,98,414628,3669,418199,0.000234,0.02671,GB-LVO-DD-08003,GB-LVO-DD-08019
66331,66338,87,212352,3669,215934,0.000403,0.023712,GB-LVO-DD-08005,GB-LVO-DD-08019
66336,66338,64,253537,3669,257142,0.000249,0.017443,GB-LVO-DD-08015,GB-LVO-DD-08019
66338,66342,57,3669,332881,336493,0.000169,0.015536,GB-LVO-DD-08019,GB-LVO-DD-08023
66338,66340,52,3669,389401,393018,0.000132,0.014173,GB-LVO-DD-08019,GB-LVO-DD-08021
66332,66338,52,211156,3669,214773,0.000242,0.014173,GB-LVO-DD-08007,GB-LVO-DD-08019
66335,66338,39,258815,3669,262445,0.000149,0.01063,GB-LVO-DD-08013,GB-LVO-DD-08019
66333,66338,34,121450,3669,125085,0.000272,0.009267,GB-LVO-DD-08009,GB-LVO-DD-08019
