device_id,first_seen,last_seen,unique_facilities,path_steps,path
-8865355597902574901,2026-04-22 13:04:47+00:00,2026-04-22 13:04:47+00:00,2,2,66330 -> 66331
1041509727121033197,2026-04-21 17:39:47+00:00,2026-04-21 17:40:08+00:00,2,2,66330 -> 66331
110882362567759039,2026-04-22 02:08:05+00:00,2026-04-22 02:53:42+00:00,3,5,66330 -> 66331 -> 66338 -> 66330 -> 66331
-3352297689915205475,2026-04-23 12:47:53+00:00,2026-04-23 12:47:53+00:00,2,2,66333 -> 66342
-8259063689389467132,2026-04-20 11:28:03+00:00,2026-04-20 11:28:03+00:00,2,2,66330 -> 66331
5771406460246083079,2026-04-20 10:56:29+00:00,2026-04-20 10:57:41+00:00,3,3,66330 -> 66331 -> 66332
-8770852295243504052,2026-04-25 05:28:54+00:00,2026-04-25 05:28:55+00:00,2,2,66331 -> 66330
-8277320384572718493,2026-04-21 12:46:23+00:00,2026-04-24 13:26:34+00:00,2,2,66340 -> 66331
7106514871163164133,2026-04-22 11:41:06+00:00,2026-04-22 11:41:06+00:00,2,2,66330 -> 66331
-8399323310133710968,2026-04-23 13:07:37+00:00,2026-04-23 13:07:37+00:00,2,2,66333 -> 66342
-6297975263411331389,2026-04-23 21:24:10+00:00,2026-04-26 21:40:31+00:00,3,4,66330 -> 66342 -> 66330 -> 66331
5515803389722531727,2026-04-25 04:38:16+00:00,2026-04-25 04:38:17+00:00,2,2,66332 -> 66342
9104537236622065185,2026-04-22 10:32:38+00:00,2026-04-22 10:32:38+00:00,2,2,66330 -> 66331
2139918415854311713,2026-04-26 10:20:44+00:00,2026-04-26 10:20:44+00:00,2,2,66333 -> 66342
2117674019090716190,2026-04-22 18:17:59+00:00,2026-04-22 18:17:59+00:00,2,2,66330 -> 66331
6777074679324064391,2026-04-25 16:22:29+00:00,2026-04-25 16:22:30+00:00,2,2,66331 -> 66330
4567776346671510626,2026-04-26 19:17:52+00:00,2026-04-26 19:17:52+00:00,2,2,66330 -> 66331
58188320071860715,2026-04-26 18:55:44+00:00,2026-04-26 18:55:44+00:00,2,2,66333 -> 66342
-7572737783350135052,2026-04-26 14:40:06+00:00,2026-04-26 14:40:06+00:00,2,2,66333 -> 66342
